iter	Logloss
0	0.566750987
1	0.4866744623
2	0.4156868539
3	0.3751877203
4	0.3388662943
5	0.3060004258
6	0.2792062527
7	0.2542269079
8	0.2399012496
9	0.2264687515
10	0.2087160436
11	0.1995458463
12	0.1855744153
13	0.1741568961
14	0.1642258807
15	0.1576882525
16	0.151583732
17	0.1474145936
18	0.1436376246
19	0.1376288623
20	0.1295089163
21	0.1266605284
22	0.1255209295
23	0.1205524165
24	0.1145906309
25	0.1114222178
26	0.1047297594
27	0.1022349939
28	0.0990176038
29	0.09599173941
30	0.09299963044
31	0.0895915706
32	0.08571060925
33	0.0823582626
34	0.07764289205
35	0.07381342911
36	0.06969239305
37	0.06571341259
38	0.0624638162
39	0.06069979784
40	0.05675185134
41	0.05423227636
42	0.05240081694
43	0.05108122477
44	0.04850544813
45	0.04644889366
46	0.04509816984
47	0.04301637789
48	0.04195673873
49	0.03997416147
50	0.03842732964
51	0.03695304219
52	0.03576740172
53	0.03439836735
54	0.03349647522
55	0.03236544074
56	0.03115220884
57	0.029882973
58	0.02893008953
59	0.02796132855
60	0.02737253236
61	0.0265117529
62	0.02578038472
63	0.02484660498
64	0.02409894525
65	0.02341627958
66	0.02250593697
67	0.02184854833
68	0.02148190475
69	0.02089272011
70	0.02036488463
71	0.0199673234
72	0.01938272337
73	0.01870410152
74	0.01807170031
75	0.01758271659
76	0.01722894064
77	0.01673943124
78	0.01635231041
79	0.01602111909
80	0.0154730541
81	0.01515403608
82	0.0148144722
83	0.01452367131
84	0.01409988171
85	0.01372456202
86	0.01341682992
87	0.01307802782
88	0.01276855004
89	0.0125717512
90	0.01223153138
91	0.01200761679
92	0.01178888693
93	0.01152291879
94	0.01137642628
95	0.0112069537
96	0.01095542908
97	0.01082935798
98	0.01055790738
99	0.01036945901
100	0.01017006316
101	0.01000242233
102	0.009857795297
103	0.009722158385
104	0.009593186146
105	0.009438711841
106	0.009258080692
107	0.009190138375
108	0.009083606557
109	0.008925306506
110	0.008843846437
111	0.008672625844
112	0.00856031383
113	0.008444467405
114	0.00828073897
115	0.008124496879
116	0.008068569695
117	0.007961311573
118	0.007826576
119	0.007754095589
120	0.007674237577
121	0.007564980809
122	0.007476229202
123	0.007366866019
124	0.007281839557
125	0.007183698329
126	0.007067723972
127	0.006957974667
128	0.006868035037
129	0.006798663953
130	0.006725961406
131	0.006607333625
132	0.006498160013
133	0.006445522425
134	0.006372242439
135	0.006290878319
136	0.006227011797
137	0.006154352281
138	0.00607821418
139	0.005996476732
140	0.005937962997
141	0.005863843895
142	0.005816728313
143	0.00578158367
144	0.005730920885
145	0.005689773327
146	0.005614769168
147	0.005553404878
148	0.00546765153
149	0.005414138189
150	0.00533260485
151	0.005272747249
152	0.005229744097
153	0.005197343012
154	0.005151987657
155	0.005112720117
156	0.005060994916
157	0.005010176868
158	0.004953314037
159	0.004905877462
160	0.004860733777
161	0.004793333426
162	0.004749603388
163	0.004690531114
164	0.004664161729
165	0.004614470063
166	0.004578006558
167	0.004535497689
168	0.004482387915
169	0.004440353556
170	0.004395007215
171	0.004363772055
172	0.004328975736
173	0.004302437422
174	0.004302412708
175	0.004248968566
176	0.00420246415
177	0.004202461243
178	0.004202347267
179	0.004189780282
180	0.004150847982
181	0.004117269632
182	0.004096222215
183	0.004096129464
184	0.004066052379
185	0.004022058917
186	0.003991589023
187	0.003949282227
188	0.00392658536
189	0.003889894485
190	0.003857395998
191	0.003857125306
192	0.003821008671
193	0.003793525405
194	0.003793455333
195	0.003766768444
196	0.00376663964
197	0.003743642132
198	0.00370514073
199	0.003670376975
200	0.003636544797
201	0.003609965196
202	0.003585536305
203	0.003585414479
204	0.003585076332
205	0.003585072843
206	0.003559742323
207	0.003529671925
208	0.003489969416
209	0.003460924218
210	0.003432421568
211	0.003409458951
212	0.003376405995
213	0.003376372849
214	0.003376362382
215	0.003352857218
216	0.003328168101
217	0.003305808509
218	0.003288071912
219	0.003288016087
220	0.003287635198
221	0.003287510174
222	0.003262600085
223	0.003233495573
224	0.003233488595
225	0.003233399042
226	0.003209678138
227	0.00318072162
228	0.003180705919
229	0.003159617505
230	0.003159589593
231	0.003159565751
232	0.003129174942
233	0.003117169403
234	0.003116920808
235	0.003116928659
236	0.003116928659
237	0.003116928659
238	0.003116926624
239	0.003116883301
240	0.003095207563
241	0.00309515639
242	0.003095139236
243	0.003073111395
244	0.003061233497
245	0.003045504849
246	0.003045315277
247	0.003040711182
248	0.003040691701
249	0.003040657392
250	0.003040603312
251	0.003040539055
252	0.003023878539
253	0.003003253588
254	0.003003217825
255	0.003003217825
256	0.003003225966
257	0.003003113444
258	0.003001364848
259	0.003001399738
260	0.003001397412
261	0.003001266282
262	0.002980879749
263	0.002957265551
264	0.002957249269
265	0.002957173673
266	0.002957112615
267	0.002957119302
268	0.002932808457
269	0.002932687504
270	0.002932617722
271	0.002932583995
272	0.002932615396
273	0.002932595044
274	0.002919187778
275	0.00291916132
276	0.002918855737
277	0.002918828406
278	0.002897579495
279	0.002880624445
280	0.002880513087
281	0.002880420336
